PRODUCTO_ID,PRODUCTO,STOCK_ACTUAL,VENTAS_MENSUALES,VECES_ORDENADO,PROMEDIO_ORDENADO,HACER_PEDIDO,CANTIDAD_SUGERIDA,PROVEEDOR_SUGERIDO
50,Tornillo allen,124,0,318,22.666666,0,0.000000,4
50,Tornillo allen,124,0,318,22.666666,0,0.000000,6
7,Martillo,189,0,310,43.400000,0,0.000000,8
43,Sellador para techos,218,0,39,3.000000,0,0.000000,6
11,Cemento,228,0,175,25.200000,0,0.000000,5
27,Apagador,312,0,275,34.000000,0,0.000000,8
53,Taladro,312,16,188,29.750000,0,0.000000,1
55,Pulidora,312,42,270,24.000000,0,0.000000,5
55,Pulidora,312,42,270,24.000000,0,0.000000,7
58,Cutter,312,4,106,24.500000,0,0.000000,7
10,Llave inglesa,328,0,188,10.000000,0,0.000000,1
10,Llave inglesa,328,0,188,10.000000,0,0.000000,10
10,Llave inglesa,328,0,188,10.000000,0,0.000000,7
10,Llave inglesa,328,0,188,10.000000,0,0.000000,2
29,Pintura vinílica,347,0,159,24.666666,0,0.000000,1
29,Pintura vinílica,347,0,159,24.666666,0,0.000000,8
29,Pintura vinílica,347,0,159,24.666666,0,0.000000,2
54,Rotomartillo,362,0,364,22.142857,0,0.000000,4
54,Rotomartillo,362,0,364,22.142857,0,0.000000,8
66,Limpiador multiusos,362,30,270,31.333333,0,0.000000,9
63,Compactadora,366,0,159,20.666666,0,0.000000,1
63,Compactadora,366,0,159,20.666666,0,0.000000,5
63,Compactadora,366,0,159,20.666666,0,0.000000,4
3,Casco de seguridad industrial,64,0,459,22.222222,0,0.000000,9
19,Clavo,334,35,399,22.428571,0,0.000000,1
19,Clavo,334,35,399,22.428571,0,0.000000,10
70,Ventilador de techo,210,0,336,26.000000,0,0.000000,2
70,Ventilador de techo,210,0,336,26.000000,0,0.000000,9
70,Ventilador de techo,210,0,336,26.000000,0,0.000000,8
52,Arandela,323,0,164,16.250000,0,0.000000,1
52,Arandela,323,0,164,16.250000,0,0.000000,9
52,Arandela,323,0,164,16.250000,0,0.000000,8
52,Arandela,323,0,164,16.250000,0,0.000000,3
25,Interruptor,148,0,357,36.571428,0,0.000000,2
25,Interruptor,148,0,357,36.571428,0,0.000000,4
15,Casco,54,0,245,35.800000,0,0.000000,1
15,Casco,54,0,245,35.800000,0,0.000000,10
15,Casco,54,0,245,35.800000,0,0.000000,9
15,Casco,54,0,245,35.800000,0,0.000000,8
15,Casco,54,0,245,35.800000,0,0.000000,6
61,Sensor de movimiento,40,21,399,18.000000,0,0.000000,1
61,Sensor de movimiento,40,21,399,18.000000,0,0.000000,10
61,Sensor de movimiento,40,21,399,18.000000,0,0.000000,7
61,Sensor de movimiento,40,21,399,18.000000,0,0.000000,6
61,Sensor de movimiento,40,21,399,18.000000,0,0.000000,5
61,Sensor de movimiento,40,21,399,18.000000,0,0.000000,4
61,Sensor de movimiento,40,21,399,18.000000,0,0.000000,3
59,Codo PVC,13,0,605,25.272727,1,26.000000,9
57,Llave stilson,191,21,183,34.000000,0,0.000000,5
57,Llave stilson,191,21,183,34.000000,0,0.000000,9
57,Llave stilson,191,21,183,34.000000,0,0.000000,7
67,Portacepillos,2,30,225,22.200000,1,23.000000,3
35,Cepillo abrasivo,89,24,240,33.750000,0,0.000000,1
68,Toallero,297,0,500,26.800000,0,0.000000,1
44,Gafas de seguridad,117,28,378,26.285714,0,0.000000,3
24,Válvula de esfera,134,0,205,29.200000,0,0.000000,3
49,Regadera,250,40,204,16.000000,0,0.000000,5
49,Regadera,250,40,204,16.000000,0,0.000000,6
32,Brocha,140,20,310,13.400000,0,0.000000,2
2,Cemento gris 50kg,308,0,520,24.625000,0,0.000000,2
26,Cable eléctrico,72,0,159,26.000000,0,0.000000,6
26,Cable eléctrico,72,0,159,26.000000,0,0.000000,9
26,Cable eléctrico,72,0,159,26.000000,0,0.000000,7
62,Controlador PLC,360,60,282,11.000000,0,0.000000,4
60,Trampa de fregadero,272,56,315,22.000000,0,0.000000,2
46,Orejeras,15,0,396,31.555555,1,32.000000,3
46,Orejeras,15,0,396,31.555555,1,32.000000,6
8,Destornillador,330,3,162,6.000000,0,0.000000,2
9,Sierra manual,182,0,225,15.600000,0,0.000000,4
12,Arena,146,0,583,21.454545,0,0.000000,7
5,Interruptor automático 2 polos,349,21,150,26.666666,0,0.000000,3
13,Grava,349,7,434,31.285714,0,0.000000,1
13,Grava,349,7,434,31.285714,0,0.000000,3
14,Ladrillo,227,14,371,25.571428,0,0.000000,6
16,Chaleco reflectante,320,9,150,20.666666,0,0.000000,3
16,Chaleco reflectante,320,9,150,20.666666,0,0.000000,5
16,Chaleco reflectante,320,9,150,20.666666,0,0.000000,4
17,Guantes de seguridad,335,24,366,24.833333,0,0.000000,1
17,Guantes de seguridad,335,24,366,24.833333,0,0.000000,9
18,Tornillo,87,0,168,38.000000,0,0.000000,3
18,Tornillo,87,0,168,38.000000,0,0.000000,9
18,Tornillo,87,0,168,38.000000,0,0.000000,7
18,Tornillo,87,0,168,38.000000,0,0.000000,5
20,Pija,78,0,270,16.400000,0,0.000000,5
21,Taquete,201,114,222,20.000000,0,0.000000,1
33,Lija,201,90,396,26.000000,0,0.000000,2
33,Lija,201,90,396,26.000000,0,0.000000,9
22,Tubo PVC,326,0,220,12.750000,0,0.000000,1
23,Conector PVC,16,0,88,17.500000,1,18.000000,8
23,Conector PVC,16,0,88,17.500000,1,18.000000,9
28,Multicontacto,71,42,312,26.833333,0,0.000000,8
30,Esmalte,132,40,280,21.600000,0,0.000000,5
30,Esmalte,132,40,280,21.600000,0,0.000000,9
30,Esmalte,132,40,280,21.600000,0,0.000000,8
30,Esmalte,132,40,280,21.600000,0,0.000000,7
30,Esmalte,132,40,280,21.600000,0,0.000000,6
31,Rodillo,181,0,204,41.500000,0,0.000000,6
34,Disco de corte,47,48,378,23.166666,0,0.000000,10
36,Silicón,107,0,216,22.750000,0,0.000000,1
37,Pegamento de contacto,58,0,504,26.888888,0,0.000000,4
38,Espuma expansiva,163,119,455,29.714285,0,0.000000,3
38,Espuma expansiva,163,119,455,29.714285,0,0.000000,6
38,Espuma expansiva,163,119,455,29.714285,0,0.000000,5
42,Impermeabilizante acrílico,241,50,290,27.000000,0,0.000000,8
45,Mascarilla,289,40,250,30.600000,0,0.000000,3
45,Mascarilla,289,40,250,30.600000,0,0.000000,9
45,Mascarilla,289,40,250,30.600000,0,0.000000,7
45,Mascarilla,289,40,250,30.600000,0,0.000000,6
45,Mascarilla,289,40,250,30.600000,0,0.000000,5
47,Tijeras de podar,234,0,205,14.400000,0,0.000000,10
48,Abono,268,80,600,39.700000,0,0.000000,3
48,Abono,268,80,600,39.700000,0,0.000000,7
48,Abono,268,80,600,39.700000,0,0.000000,5
51,Tuerca,36,0,649,33.727272,0,0.000000,3
56,Pinzas,76,8,204,15.500000,0,0.000000,3
56,Pinzas,76,8,204,15.500000,0,0.000000,5
64,Cortadora de concreto,304,88,392,27.000000,0,0.000000,4
64,Cortadora de concreto,304,88,392,27.000000,0,0.000000,7
65,Desengrasante,367,6,276,23.333333,0,0.000000,7
