PRODUCTO_ID,PRODUCTO,STOCK_ACTUAL,VENTAS_MENSUALES,VECES_ORDENADO,PROMEDIO_ORDENADO,HACER_PEDIDO,CANTIDAD_SUGERIDA,PROVEEDOR_SUGERIDO
50,Tornillo allen,33,0,318,22.666666,0,0.000000,4
50,Tornillo allen,33,0,318,22.666666,0,0.000000,6
20,Pija,122,0,270,16.400000,0,0.000000,5
46,Orejeras,142,0,396,31.555555,0,0.000000,3
46,Orejeras,142,0,396,31.555555,0,0.000000,6
23,Conector PVC,218,0,88,17.500000,0,0.000000,8
23,Conector PVC,218,0,88,17.500000,0,0.000000,9
56,Pinzas,275,8,204,15.500000,0,0.000000,3
56,Pinzas,275,8,204,15.500000,0,0.000000,5
33,Lija,286,90,396,26.000000,0,0.000000,2
33,Lija,286,90,396,26.000000,0,0.000000,9
60,Trampa de fregadero,286,56,315,22.000000,0,0.000000,2
3,Casco de seguridad industrial,288,0,459,22.222222,0,0.000000,9
36,Silicón,325,0,216,22.750000,0,0.000000,1
66,Limpiador multiusos,300,30,270,31.333333,0,0.000000,9
6,Multicontacto industrial 6 salidas,175,14,399,21.714285,0,0.000000,8
38,Espuma expansiva,84,119,455,29.714285,0,0.000000,3
38,Espuma expansiva,84,119,455,29.714285,0,0.000000,6
38,Espuma expansiva,84,119,455,29.714285,0,0.000000,5
42,Impermeabilizante acrílico,20,50,290,27.000000,1,27.000000,8
18,Tornillo,64,0,168,38.000000,0,0.000000,3
18,Tornillo,64,0,168,38.000000,0,0.000000,9
18,Tornillo,64,0,168,38.000000,0,0.000000,7
18,Tornillo,64,0,168,38.000000,0,0.000000,5
53,Taladro,64,16,188,29.750000,0,0.000000,1
34,Disco de corte,96,48,378,23.166666,0,0.000000,10
16,Chaleco reflectante,210,9,150,20.666666,0,0.000000,3
16,Chaleco reflectante,210,9,150,20.666666,0,0.000000,5
16,Chaleco reflectante,210,9,150,20.666666,0,0.000000,4
45,Mascarilla,307,40,250,30.600000,0,0.000000,3
45,Mascarilla,307,40,250,30.600000,0,0.000000,9
45,Mascarilla,307,40,250,30.600000,0,0.000000,7
45,Mascarilla,307,40,250,30.600000,0,0.000000,6
45,Mascarilla,307,40,250,30.600000,0,0.000000,5
65,Desengrasante,148,6,276,23.333333,0,0.000000,7
8,Destornillador,157,3,162,6.000000,0,0.000000,2
58,Cutter,314,4,106,24.500000,0,0.000000,7
28,Multicontacto,243,42,312,26.833333,0,0.000000,8
61,Sensor de movimiento,243,21,399,18.000000,0,0.000000,1
61,Sensor de movimiento,243,21,399,18.000000,0,0.000000,10
61,Sensor de movimiento,243,21,399,18.000000,0,0.000000,7
61,Sensor de movimiento,243,21,399,18.000000,0,0.000000,6
61,Sensor de movimiento,243,21,399,18.000000,0,0.000000,5
61,Sensor de movimiento,243,21,399,18.000000,0,0.000000,4
61,Sensor de movimiento,243,21,399,18.000000,0,0.000000,3
48,Abono,126,80,600,39.700000,0,0.000000,3
48,Abono,126,80,600,39.700000,0,0.000000,7
48,Abono,126,80,600,39.700000,0,0.000000,5
62,Controlador PLC,273,60,282,11.000000,0,0.000000,4
57,Llave stilson,230,21,183,34.000000,0,0.000000,5
57,Llave stilson,230,21,183,34.000000,0,0.000000,9
57,Llave stilson,230,21,183,34.000000,0,0.000000,7
10,Llave inglesa,262,0,188,10.000000,0,0.000000,1
10,Llave inglesa,262,0,188,10.000000,0,0.000000,10
10,Llave inglesa,262,0,188,10.000000,0,0.000000,7
