PRODUCTO_ID,PRODUCTO,STOCK_ACTUAL,VENTAS_MENSUALES,VECES_ORDENADO,PROMEDIO_ORDENADO,HACER_PEDIDO,CANTIDAD_SUGERIDA,PROVEEDOR_SUGERIDO
7,Martillo,18,0,310,43.400000,1,44.000000,8
44,Gafas de seguridad,18,28,378,26.285714,1,27.000000,3
52,Arandela,27,0,164,16.250000,0,0.000000,1
52,Arandela,27,0,164,16.250000,0,0.000000,9
52,Arandela,27,0,164,16.250000,0,0.000000,8
52,Arandela,27,0,164,16.250000,0,0.000000,3
55,Pulidora,131,42,270,24.000000,0,0.000000,5
55,Pulidora,131,42,270,24.000000,0,0.000000,7
35,Cepillo abrasivo,141,24,240,33.750000,0,0.000000,1
68,Toallero,162,0,500,26.800000,0,0.000000,1
12,Arena,222,0,583,21.454545,0,0.000000,7
60,Trampa de fregadero,275,56,315,22.000000,0,0.000000,2
4,Lentes de protección,312,40,250,14.600000,0,0.000000,8
32,Brocha,338,20,310,13.400000,0,0.000000,2
28,Multicontacto,300,42,312,26.833333,0,0.000000,8
10,Llave inglesa,176,0,188,10.000000,0,0.000000,1
10,Llave inglesa,176,0,188,10.000000,0,0.000000,10
10,Llave inglesa,176,0,188,10.000000,0,0.000000,7
10,Llave inglesa,176,0,188,10.000000,0,0.000000,2
13,Grava,334,7,434,31.285714,0,0.000000,1
13,Grava,334,7,434,31.285714,0,0.000000,3
45,Mascarilla,13,40,250,30.600000,1,31.000000,3
45,Mascarilla,13,40,250,30.600000,1,31.000000,9
45,Mascarilla,13,40,250,30.600000,1,31.000000,7
45,Mascarilla,13,40,250,30.600000,1,31.000000,6
45,Mascarilla,13,40,250,30.600000,1,31.000000,5
8,Destornillador,202,3,162,6.000000,0,0.000000,2
2,Cemento gris 50kg,208,0,520,24.625000,0,0.000000,2
34,Disco de corte,243,48,378,23.166666,0,0.000000,10
19,Clavo,273,35,399,22.428571,0,0.000000,1
19,Clavo,273,35,399,22.428571,0,0.000000,10
9,Sierra manual,89,0,225,15.600000,0,0.000000,4
11,Cemento,230,0,175,25.200000,0,0.000000,5
14,Ladrillo,270,14,371,25.571428,0,0.000000,6
15,Casco,299,0,245,35.800000,0,0.000000,1
15,Casco,299,0,245,35.800000,0,0.000000,10
15,Casco,299,0,245,35.800000,0,0.000000,9
15,Casco,299,0,245,35.800000,0,0.000000,8
15,Casco,299,0,245,35.800000,0,0.000000,6
16,Chaleco reflectante,193,9,150,20.666666,0,0.000000,3
16,Chaleco reflectante,193,9,150,20.666666,0,0.000000,5
16,Chaleco reflectante,193,9,150,20.666666,0,0.000000,4
17,Guantes de seguridad,333,24,366,24.833333,0,0.000000,1
17,Guantes de seguridad,333,24,366,24.833333,0,0.000000,9
18,Tornillo,297,0,168,38.000000,0,0.000000,3
18,Tornillo,297,0,168,38.000000,0,0.000000,9
18,Tornillo,297,0,168,38.000000,0,0.000000,7
18,Tornillo,297,0,168,38.000000,0,0.000000,5
20,Pija,262,0,270,16.400000,0,0.000000,5
21,Taquete,128,114,222,20.000000,0,0.000000,1
22,Tubo PVC,104,0,220,12.750000,0,0.000000,1
23,Conector PVC,156,0,88,17.500000,0,0.000000,8
23,Conector PVC,156,0,88,17.500000,0,0.000000,9
24,Válvula de esfera,252,0,205,29.200000,0,0.000000,3
25,Interruptor,345,0,357,36.571428,0,0.000000,2
25,Interruptor,345,0,357,36.571428,0,0.000000,4
49,Regadera,345,40,204,16.000000,0,0.000000,5
